connector_version,consumed_property_count,conversion_success,diagnostics,duration_ms,error,mapping_counts,non_exact_mapping_without_notes,oracle_match,output_bytes,patterns,property_count,python_parse_success,scenario,source_agents,source_hash,source_modules,source_nodes,target,tier
0.1.0,13,True,[],51,,"{""adapted"": 5, ""dropped"": 1, ""equivalent"": 3, ""exact"": 5}",5,True,5177,"[""multi-agent"", ""sequential"", ""editorial""]",14,True,editorial-five,5,88e3711875cb799501391925decbafa18851b2bcccb964eadbcca54ddce7ce9c,0,5,microsoft-agent-framework,simple
0.1.0,13,True,[],46,,"{""adapted"": 5, ""dropped"": 1, ""equivalent"": 3, ""exact"": 5}",5,True,4905,"[""multi-agent"", ""sequential"", ""editorial""]",14,True,editorial-five,5,88e3711875cb799501391925decbafa18851b2bcccb964eadbcca54ddce7ce9c,0,5,strands,simple
0.1.0,13,True,[],43,,"{""adapted"": 5, ""dropped"": 1, ""equivalent"": 4, ""exact"": 4}",5,True,2860,"[""multi-agent"", ""sequential"", ""editorial""]",14,True,editorial-five,5,88e3711875cb799501391925decbafa18851b2bcccb964eadbcca54ddce7ce9c,0,5,pydantic-ai,simple
0.1.0,13,True,[],46,,"{""adapted"": 5, ""dropped"": 1, ""equivalent"": 4, ""exact"": 4}",5,True,4695,"[""multi-agent"", ""sequential"", ""editorial""]",14,True,editorial-five,5,88e3711875cb799501391925decbafa18851b2bcccb964eadbcca54ddce7ce9c,0,5,autogen,simple
0.1.0,13,True,[],48,,"{""adapted"": 4, ""dropped"": 1, ""equivalent"": 5, ""exact"": 4}",4,True,4664,"[""multi-agent"", ""sequential"", ""editorial""]",14,True,editorial-five,5,88e3711875cb799501391925decbafa18851b2bcccb964eadbcca54ddce7ce9c,0,5,semantic-kernel,simple
0.1.0,13,True,[],50,,"{""adapted"": 5, ""equivalent"": 5, ""exact"": 3, ""unsupported"": 1}",6,True,3921,"[""multi-agent"", ""sequential"", ""editorial""]",14,True,editorial-five,5,88e3711875cb799501391925decbafa18851b2bcccb964eadbcca54ddce7ce9c,0,5,haystack,simple
0.3.0,14,True,[],44,,"{""adapted"": 7, ""equivalent"": 3, ""exact"": 4}",2,True,7058,"[""multi-agent"", ""sequential"", ""delivery""]",14,True,delivery-six,6,ed86e6be080731cca40ad2caf232f574b17b37941ffde8e7c00703e01bd6fcf1,0,6,crewai,simple
0.3.0,14,True,[],50,,"{""adapted"": 10, ""exact"": 4}",6,True,3672,"[""multi-agent"", ""sequential"", ""delivery""]",14,True,delivery-six,6,ed86e6be080731cca40ad2caf232f574b17b37941ffde8e7c00703e01bd6fcf1,0,6,adk,simple
0.1.0,14,True,[],47,,"{""adapted"": 4, ""equivalent"": 4, ""exact"": 6}",4,True,4927,"[""multi-agent"", ""sequential"", ""delivery""]",14,True,delivery-six,6,ed86e6be080731cca40ad2caf232f574b17b37941ffde8e7c00703e01bd6fcf1,0,6,langgraph,simple
0.1.0,14,True,[],46,,"{""adapted"": 6, ""equivalent"": 4, ""exact"": 4}",6,True,3654,"[""multi-agent"", ""sequential"", ""delivery""]",14,True,delivery-six,6,ed86e6be080731cca40ad2caf232f574b17b37941ffde8e7c00703e01bd6fcf1,0,6,openai-agents,simple
